,smiles
BRD-K71847383,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-A98990573,NC1=NCC2N1c1ccccc1Cc1ccccc21
BRD-K47832606,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O
BRD-K72951360,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1
BRD-K33127281,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O
BRD-K19388745,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C
BRD-K11640013,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
BRD-K53123955,[O-][N+](=O)c1cnc(s1)N1CCNC1=O
BRD-K90027121,CCCc1ncc(C[n+]2ccccc2C)c(N)n1
BRD-A19585813,COC(=O)C(C1CCCCN1)c1ccccc1
BRD-A85667082,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
BRD-K00077635,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2OP(O)(O)=O
BRD-K71035033,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1
BRD-K07220430,C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1
BRD-K17743125,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
BRD-K61397605,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C
BRD-A71725768,COc1ccccc1OC(=O)C(C)c1ccc(CC(C)C)cc1
BRD-K62213621,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
BRD-A14240607,NCC(O)c1ccc(O)cc1
BRD-K68997413,FC(F)(F)c1ccc(Oc2cccc(CC3CCN(CC3)C(=O)Nc3cccnc3)c2)nc1
BRD-K01773560,CCCCNc1ncc(-c2ccc(CN3CCOCC3)cn2)c(N[C@H]2CC[C@H](O)CC2)n1
BRD-K44067360,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
